index,tradeDate,volumnB,买价bid,最新价last,卖价ask,volumnS,,买量,买价,最新价,卖价,卖量
77,2019/1/23,2,0.0799,0.0799,0.08,1,,1,0.1835,0.1863,0.1849,1
78,2019/1/23,1,0.0637,0.0628,0.0638,1,,1,0.2145,0.2146,0.2178,1
79,2019/1/23,1,0.0624,0.0629,0.0633,1,,1,0.2154,0.2155,0.2185,1
80,2019/1/23,1,0.0508,0.0512,0.0518,1,,1,0.2512,0.2522,0.2532,1
81,2019/1/23,1,0.0502,0.0506,0.0508,1,,4,0.2547,0.2563,0.2548,1
82,2019/1/23,1,0.0402,0.0405,0.0411,1,,1,0.2887,0.2935,0.2908,1
83,2019/1/23,1,0.0395,0.0391,0.0399,1,,1,0.291,0.2945,0.2931,1
84,2019/1/23,1,0.0314,0.0319,0.0322,1,,1,0.3282,0.3317,0.3303,1
85,2019/1/23,16,0.03,0.0306,0.0306,3,,29,0.3375,0.3375,0.3399,1
86,2019/1/23,1,0.0244,0.0247,0.0247,5,,1,0.3693,0.3749,0.3716,1
